name;1순위 추천;2순위 추천;3순위 추천;4순위 추천;5순위 추천
좋은데 어떡해;'유일무이 로맨스'; '오늘 밤만 재워줘'; '걸어서 30분'; '청춘 블라썸'; '바른연애 길잡이'
모두 너였다;'나의 우주';;;;
2-3승강장;'운수 오진 날'; '어글리 피플즈'; '타인은 지옥이다';;
도사 가온;'히어로메이커'; '고수'; '심심한 마왕'; '강시대소동';
안녕, 이바다씨;'허니허니 웨딩';;;;
아가사;'하렘의 남자들'; '하루만 네가 되고 싶어'; '재혼 황후';;
친구의 비밀계정;'선의의 경쟁'; '피라미드 게임'; '나쁜 쪽으로';;
먹지마세요;'귀곡의 문'; '트럼프'; '이런 영웅은 싫어';;
아침을 지나 밤으로;'겟백'; '제로게임'; '칼가는 소녀';;
이번 생도 잘 부탁해;'오늘도 사랑스럽개'; '레코닝'; '신령';;
열렙전사;'마법스크롤 상인 지오'; '갓 오브 하이스쿨'; '고수'; '덴마'; '3P'
입학용병;'일렉시드'; '오파츠'; '노블레스';;
투신전생기;'전지적 독자 시점'; '신의 탑'; '갓 오브 하이스쿨';;
어느날 갑자기 서울은;'묵시의 인플루언서'; '포식동물'; '엽총소년'; '데드퀸'; '사람의 조각'
곱게 키웠더니, 짐승;'흑막 여주가 날 새엄마로 만들려고 해'; '엔딩 후 서브남을 주웠다'; '남주의 첫날밤을 가져버렸다'; '황제와의 하룻밤'; '사람은 고쳐 쓰는 게 아니야!'
테러대부활;'하우스키퍼'; '한림체육관'; '테러맨'; '부활남'; '신석기녀'
오로지 너를 이기고 싶어;'같은 학교 친구';;;;
경자 전성시대;'연애의 정령';;;;
살아남은 로맨스;'여주실격!'; '어글리후드'; '화장 지워주는 남자';;
천치전능;'엽총소년'; '[드라마원작] 스위트홈'; '돼지우리'; '후레자식';
마법스크롤 상인 지오;'팀 피닉스'; '오!주예수여'; '고고고';;
별이삼샵;'죽음에 관하여'; '남과 여'; '네가 없는 세상';;
판사 이한영;'취사병 전설이 되다'; '비질란테';;;
사실 마법이었던 거임;'언덕 위의 제임스'; '경자 전성시대'; '사장님을 잠금해제';;
예쁜 사나이;'복학생 정순이'; '교환일기';;;
